考号,班级,总成绩,年级名次,班级名次,政治,语文,数学,物理,化学,外语,历史,地理
10170101,1,426.5,82,16,72,85,39,23,39,62.5,45,61
10170102,1,482.5,23,6,57,98,55,40,59,66.5,38,69
10170103,1,417.5,100,21,68,97,20,28,49,56.5,46,53
10170104,1,327,237,38,42,78,26,21,40,28,40,52
10170105,1,449.5,53,12,64,93,47,32,46,57.5,57,53
10170106,1,349.5,198,31,53,77,42,31,27,33.5,45,41
10170107,1,262,310,48,27,66,15,1,21,23,47,62
10170108,1,430.5,75,13,70,91,46,16,26,52.5,68,61
10170109,1,504,15,3,59,105,41,37,44,77,65,76
10170110,1,477.5,26,7,58,86,59,45,69,38.5,66,56
10170111,1,334.5,228,36,48,91,20,15,18,35.5,51,56
10170112,1,351.5,194,30,45,86,49,13,30,49.5,44,35
10170113,1,334.5,228,36,45,88,20,17,30,35.5,43,56
10170114,1,374,160,27,45,89,44,18,47,40,36,55
10170115,1,344,212,32,34,85,40,17,36,55,34,43
10170116,1,538,3,1,76,89,61,30,58,88,55,81
10170117,1,430,77,14,70,107,44,26,45,24,63,51
10170118,1,278.5,297,45,29,78,15,16,28,17.5,40,55
10170119,1,318.5,252,40,33,69,34,24,35,24.5,44,55
10170120,1,375.5,157,26,53,77,35,21,25,91.5,30,43
10170121,1,335,227,35,42,82,40,15,14,47,30,65
10170122,1,340.5,221,34,53,87,25,25,36,41.5,26,47
10170123,1,459,47,10,70,81,25,48,65,60,44,66
10170124,1,455.5,50,11,77,91,34,31,52,51.5,54,65
10170125,1,422,92,18,67,88,40,20,50,69,33,55
10170126,1,466.5,35,9,44,97,52,40,68,62.5,37,66
10170127,1,427,79,15,64,83,30,18,35,85,56,56
10170128,1,409,111,23,63,97,24,17,64,43,43,58
10170129,1,361.5,176,28,53,73,30,27,43,41.5,43,51
10170130,1,468.5,32,8,62,96,40,18,33,96.5,52,71
10170131,1,486,22,5,63,76,69,37,69,45,55,72
10170132,1,498,16,4,75,86,63,40,61,84,43,46
10170133,1,355,192,29,53,85,45,28,21,22,42,59
10170134,1,302,276,41,50,38,34,26,31,44,35,44
10170135,1,422.5,88,17,66,95,40,33,50,30.5,48,60
10170136,1,411.5,109,22,52,99,52,40,35,50.5,39,44
10170137,1,299.5,279,42,44,86,27,14,19,30.5,40,39
10170138,1,264,308,47,36,67,25,12,24,21,34,45
10170139,1,421.5,94,19,51,89,27,33,42,53.5,58,68
10170140,1,418.5,96,20,50,92,44,24,55,79.5,34,40
10170141,1,323,242,39,47,78,35,18,23,43,38,41
10170142,1,258.5,311,49,29,53,36,12,32,18.5,44,34
10170201,2,359.5,182,28,58,89,35,32,46,38.5,39,22
10170202,2,324,240,40,52,72,33,15,18,29,52,53
10170203,2,445,60,10,67,93,59,38,42,39,39,68
10170204,2,343.5,215,37,63,69,46,25,17,30.5,40,53
10170205,2,349,199,32,58,84,30,12,27,35,49,54
10170206,2,435,71,13,63,90,34,41,45,63,38,61
10170207,2,613.5,1,1,78,114,71,35,79,100.5,68,68
10170208,2,340.5,221,39,51,85,42,11,20,14.5,59,58
10170209,2,231,319,49,34,56,32,6,26,22,18,37
10170210,2,381.5,150,24,44,93,34,35,52,30.5,32,61
10170211,2,348.5,201,34,54,90,38,9,28,21.5,48,60
10170212,2,436.5,69,12,57,91,41,15,58,51.5,59,64
10170213,2,343,217,38,58,81,36,17,30,11,57,53
10170214,2,382,149,23,74,86,35,26,23,44,36,58
10170215,2,466.5,35,6,66,98,58,36,42,48.5,52,66
10170216,2,495,18,3,64,98,36,44,49,96,52,56
10170217,2,285,290,46,39,84,15,14,27,40,28,38
10170218,2,344.5,210,36,63,53,36,23,18,32.5,76,43
10170219,2,375.5,157,25,55,90,43,27,32,41.5,32,55
10170220,2,449,54,9,70,103,44,19,56,40,61,56
10170221,2,478,25,5,66,71,61,37,61,77,49,56
10170222,2,531.5,7,2,63,103,56,53,67,62.5,62,65
10170223,2,412,107,16,56,96,45,30,46,38,48,53
10170224,2,400.5,125,20,64,84,45,25,27,73.5,37,45
10170225,2,319,249,42,47,73,40,21,36,21,28,53
10170226,2,320,247,41,48,84,31,28,19,38,30,42
10170227,2,459.5,46,7,55,105,50,40,38,80.5,47,44
10170228,2,285.5,289,45,32,85,26,16,22,29.5,37,38
10170229,2,387.5,143,22,58,87,45,18,35,39.5,56,49
10170230,2,318,254,43,50,55,20,26,21,33,54,59
10170231,2,457,49,8,62,95,40,27,47,82,49,55
10170232,2,402,123,18,65,90,49,21,28,66,32,51
10170233,2,275,300,47,40,61,29,18,23,27,42,35
10170234,2,346,207,35,54,92,31,19,30,41,55,24
10170235,2,358,185,29,58,91,26,8,50,55,32,38
10170236,2,392.5,139,21,79,98,39,24,40,43.5,30,39
