"","title","company","city","organization","size","type","experience1","degree","size","minimumpay","maximumpay","logmeanpay","experience2","R","SPSS","Excel","Python","MATLAB","Java","SQL","SAS","Stata","EViews","Spark","Hadoop"
"1","万向联合诚聘金融交易助理/数据分析 期待你的加入","北京万向联合控股集团有限公司","北京","合资","150-500人","金融/投资/证券",0,"本科","招聘10人",8000,9999,9.10492429921953,"无经验要求",0,0,0,0,0,0,0,0,0,0,0,0
"2","数据分析师","酷我音乐","北京","外资","150-500人","互联网/电子商务",3,"无","招聘1人",10000,14999,9.43344392249037,"3-4年",0,1,1,0,0,0,0,0,0,0,0,0
"3","QA  数据分析","北京互联企信信息技术有限公司","北京","外资","1000-5000人","外包服务",0,"大专","招聘1人",4500,5999,8.565888112955,"无经验要求",0,0,1,0,0,0,0,0,0,0,0,0
"4","数据分析师 (职位编号：yunshan002894)","美菜网","北京","外资","1000-5000人","互联网/电子商务",3,"大专","招聘1人",6000,10000,8.98719682066197,"3-4年",0,0,0,0,0,0,0,0,0,0,0,0
"5","高级数据分析师/SAS工程师","博易智软（北京）技术股份有限公司","北京","上市公司","150-500人","计算机软件",3,"本科","招聘2人",15000,19999,9.76992758807486,"3-4年",0,0,0,0,0,0,1,1,0,0,0,0
"6","数据分析专员","北京美加百利咨询有限公司","北京","民营公司","1000-5000人","教育/培训/院校",0,"本科","招聘若干人",4500,5999,8.565888112955,"无经验要求",0,0,0,0,0,0,1,0,0,0,0,0
"7","数据分析挖掘师","深圳索信达数据技术股份有限公司","北京","民营公司","150-500人","计算机服务(系统、数据服务、维修)",3,"本科","招聘2人",15000,30000,10.0212705881925,"3-4年",0,0,1,0,0,0,1,1,0,0,0,1
"8","数据分析师","资信财富投资（集团）有限公司","北京","民营公司","150-500人","金融/投资/证券",2,"本科","招聘1人",10000,14999,9.43344392249037,"1-2年",1,1,1,0,0,0,1,1,0,0,0,0
"9","结算数据分析员","尚智逢源（北京）基金销售有限公司","北京","民营公司","1000-5000人","金融/投资/证券",0,"本科","招聘1人",4500,5999,8.565888112955,"无经验要求",0,0,0,0,0,0,0,0,0,0,0,0
"10","产品运营经理（偏数据分析）","和创（北京）科技股份有限公司","北京","上市公司","1000-5000人","互联网/电子商务",0,"本科","招聘1人",10000,14999,9.43344392249037,"无经验要求",0,0,1,0,0,0,0,0,0,0,0,0
"11","数据分析师","吉贝克信息技术有限公司","北京","外资","500-1000人","计算机软件",3,"本科","招聘1人",10000,14999,9.43344392249037,"3-4年",0,0,0,0,0,0,1,0,0,0,0,0
"12","数据分析专员","北京环亚市场研究社","北京","国企","50-150人","专业服务(咨询、人力资源、财会)",0,"本科","招聘若干人",4500,5999,8.565888112955,"无经验要求",0,1,0,0,0,0,0,0,0,0,0,0
"13","大公数据-数据分析师（数理、统计）","大公信用数据有限公司","北京","民营公司","150-500人","金融/投资/证券",2,"本科","招聘5人",8000,9999,9.10492429921953,"1-2年",0,0,0,0,0,0,0,0,0,0,0,0
"14","数据分析师","北京中技所知识产权服务有限公司","北京","国企","50-150人","金融/投资/证券",0,"本科","招聘若干人",8000,NA,NA,"无经验要求",1,1,0,0,0,0,0,1,0,0,0,0
"15","数据分析师(金融服务/征信/信用/大数据)","北京安融惠众征信有限公司","北京","民营公司","50-150人","金融/投资/证券",3,"硕士","招聘2人",8000,9999,9.10492429921953,"3-4年",0,1,1,0,0,0,0,1,0,1,0,0
"16","业务分析/数据分析专员","北京锋索实业有限公司","北京","民营公司","150-500人","机械/设备/重工",0,"大专","招聘2人",6000,7999,8.85359399691488,"无经验要求",0,0,1,0,0,0,0,0,0,0,0,0
